Iterations	loss_lab	loss_unl	train_err	test_err
				
				
				
10000)				
				
0,	10.9478,	0.2678,	0.8590,	0.6750
1,	2.4700,	0.0361,	0.8600,	0.6750
2,	2.1295,	0.0345,	0.8070,	0.6750
3,	2.1797,	0.0296,	0.8050,	0.6750
4,	1.9604,	0.0248,	0.7150,	0.6850
5,	2.4083,	0.0319,	0.7970,	0.6950
6,	2.0493,	0.0330,	0.7660,	0.7000
7,	1.9448,	0.0264,	0.7370,	0.7050
8,	2.0175,	0.0280,	0.7080,	0.7550
9,	1.8967,	0.0257,	0.6660,	0.7650
10,	2.4131,	0.0179,	0.6120,	0.7450
11,	2.5962,	0.0430,	0.8020,	0.7800
12,	2.1315,	0.0365,	0.7900,	0.8200
13,	2.0533,	0.0272,	0.7340,	0.8350
14,	1.8577,	0.0321,	0.7220,	0.8400
15,	1.8834,	0.0240,	0.6630,	0.8400
16,	1.8582,	0.0210,	0.6730,	0.8400
17,	1.9452,	0.0154,	0.6440,	0.8400
18,	1.9635,	0.0188,	0.6750,	0.8400
19,	1.5878,	0.0233,	0.6110,	0.8400
20,	1.3325,	0.0123,	0.5350,	0.8400
21,	1.2316,	0.0250,	0.4630,	0.8400
22,	0.9967,	0.6712,	0.3810,	0.8400
23,	1.1316,	0.0484,	0.4430,	0.8400
24,	0.6283,	0.2105,	0.2240,	0.8400
25,	1.3529,	0.0751,	0.4120,	0.8400
26,	0.3594,	0.0945,	0.1260,	0.8400
27,	0.1930,	0.0314,	0.0580,	0.8400
28,	0.1170,	0.0117,	0.0440,	0.8400
29,	1.7411,	0.0082,	0.4380,	0.8400
30,	0.5091,	0.0240,	0.1560,	0.8400
31,	0.1416,	0.0093,	0.0370,	0.8400
32,	0.0519,	0.0062,	0.0130,	0.8400
33,	0.0484,	0.0072,	0.0180,	0.8400
34,	0.0187,	0.0041,	0.0040,	0.8400
35,	0.0185,	0.0034,	0.0060,	0.8400
36,	1.6226,	0.0048,	0.3200,	0.8400
37,	0.9107,	0.0148,	0.3110,	0.8400
38,	0.3352,	0.0066,	0.0970,	0.8350
39,	0.1361,	0.0026,	0.0330,	0.8350
40,	0.0671,	0.0017,	0.0150,	0.8350
41,	0.0397,	0.0015,	0.0080,	0.8350
42,	0.0232,	0.0009,	0.0060,	0.8300
43,	0.0225,	0.0006,	0.0080,	0.8250
44,	0.0162,	0.0003,	0.0040,	0.8250
45,	0.0088,	0.0002,	0.0020,	0.8250
46,	0.0095,	0.0002,	0.0020,	0.8250
47,	0.0070,	0.0003,	0.0000,	0.8250
48,	0.0139,	0.0002,	0.0050,	0.8250
49,	0.0060,	0.0001,	0.0020,	0.8250
50,	0.0069,	0.0002,	0.0030,	0.8200
51,	0.0051,	0.0001,	0.0000,	0.8200
52,	0.0079,	0.0001,	0.0010,	0.8250
53,	0.0039,	0.0001,	0.0010,	0.8250
54,	0.0016,	0.0001,	0.0000,	0.8250
55,	0.0013,	0.0001,	0.0000,	0.8250
56,	0.0014,	0.0001,	0.0000,	0.8300
57,	0.0009,	0.0001,	0.0000,	0.8300
58,	0.0011,	0.0001,	0.0000,	0.8300
59,	0.0019,	0.0001,	0.0000,	0.8250
