Iterations	loss_lab	loss_unl	train_err	test_err
4096)				
de				
				
batch				
				
de				
				
batch				
				
batch				
				
de				
				
labeled				
4096)				
labeled				
4096)				
0,	5.4030,	0.1913,	0.8419,	0.8200
1,	2.1376,	0.0297,	0.8333,	0.7400
2,	2.1237,	0.0190,	0.8276,	0.7440
3,	2.1372,	0.0169,	0.8305,	0.7440
4,	2.0869,	0.0139,	0.8219,	0.7560
5,	2.0879,	0.0145,	0.8057,	0.7440
6,	2.0407,	0.0090,	0.7886,	0.7560
7,	2.0520,	0.0089,	0.8067,	0.7560
8,	2.0626,	0.0117,	0.7962,	0.7480
9,	1.9811,	0.0073,	0.7667,	0.7520
10,	2.0129,	0.0123,	0.8162,	0.7320
11,	2.0170,	0.0069,	0.8067,	0.7400
12,	1.9483,	0.0067,	0.7886,	0.7400
13,	1.9429,	0.0075,	0.7648,	0.7400
14,	1.9604,	0.0075,	0.7829,	0.7400
15,	1.9177,	0.0066,	0.7886,	0.7400
16,	1.8956,	0.0057,	0.7619,	0.7400
17,	1.8878,	0.0055,	0.7476,	0.7400
18,	1.8822,	0.0053,	0.7619,	0.7400
19,	1.9427,	0.0062,	0.7610,	0.7400
20,	1.8222,	0.0053,	0.7238,	0.7400
21,	1.8766,	0.0053,	0.7295,	0.7400
22,	1.8456,	0.0042,	0.7438,	0.7400
23,	1.8281,	0.0050,	0.7400,	0.7400
24,	1.7906,	0.0038,	0.7000,	0.7400
25,	1.8509,	0.0063,	0.7286,	0.7400
26,	1.8754,	0.0049,	0.7371,	0.7400
27,	1.7332,	0.0037,	0.6600,	0.7400
28,	1.6751,	0.0035,	0.6476,	0.7400
29,	1.7294,	0.0039,	0.6676,	0.7400
30,	1.7622,	0.0036,	0.6924,	0.7400
31,	1.6749,	0.0030,	0.6562,	0.7400
32,	1.7126,	0.0045,	0.6619,	0.7400
33,	1.7840,	0.0026,	0.6848,	0.7400
34,	1.6460,	0.0051,	0.6486,	0.7400
35,	1.8067,	0.0039,	0.6876,	0.7400
36,	1.7088,	0.0117,	0.6848,	0.7400
